㐀	qiu1
㐁	tian4
㐖毒	xie2 du2
㐨	xu4
㐩	xing2
㐫	xiong1
㐬	liu2
㐭	lin3
㐮	xiang1
㐯	yong1
㐱	zhen3
㐲	dai4
㐳	wu4
㐴	pan1
㐵	ru2
㐷	ma3
㐸	qian4
㐹	yi4
㐻	nei4
㐼	cheng4
㐽	feng1
㑁	zhuo1
㑂	fang3
㑃	ao3
㑄	wu3
㑅	zuo4
㑈	dong4
㑉	su4
㑊	yi4
㑋	qiong2
㑌	kuang1
㑍	lei4
㑎	nao3
㑏	zhu4
㑐	shu1
㑔	xu3
㑗	shen1
㑘	jie4
㑙	die2
㑚	nuo2
㑛	su4
㑜	yi4
㑝	long4
㑞	ying4
㑟	beng3
㑣	lan2
㑤	miao2
㑥	yi4
㑦	li4
㑧	ji4
㑨	yu3
㑪	chai2
㑮	hun2
㑯	xu3
㑰	hui4
㑱	rao3
㑵	han4
㑶	xi4
㑷	tai4
㑸	yao2
㑹	hui4
㑺	jun4
㑻	ma4
㑼	lve4
㑽	tang2
㑾	yao2
㑿	zhao4
㒀	zhai1
㒁	yu3
㒂	zhuo2
㒃	er4
㒄	ran3
㒅	qi3
㒆	chi4
㒇	wu3
㒈	han4
㒉	tang3
㒊	se4
㒋	si1
㒌	qiong2
㒍	lei2
㒎	sa4
㒑	kui3
㒒	pu2
㒓	ta4
㒔	shu2
㒕	yang1
㒖	ou3
㒗	tai2
㒙	mian2
㒚	yin4
㒛	diao4
㒜	yu3
㒝	mie4
㒞	jun4
㒟	niao3
㒠	xie4
㒡	you2
㒤	che4
㒥	feng1
㒦	lei3
㒧	li4
㒩	luo3
㒫	ji4
㒰	quan2
㒲	cai2
㒴	gu3
㒵	mao4
㒷	gua3
㒻	mao4
㒼	man2
㒽	quan1
㒾	shi4
㒿	li2
㓁	wang3
㓂	kou4
㓃	du4
㓄	zhen4
㓅	ting1
㓈	bing4
㓉	huo4
㓊	dong4
㓋	gong4
㓌	cheng1
㓎	qin1
㓏	jiong3
㓐	lu4
㓑	xing4
㓓	nan2
㓔	xie4
㓖	bi4
㓗	jie2
㓘	su4
㓚	gong1
㓜	you4
㓝	xing2
㓞	qia4
㓟	pi2
㓠	dian4
㓡	fu3
㓢	luo4
㓣	qia4
㓤	qia4
㓥	tang1
㓦	bai1
㓧	gan1
㓨	ci2
㓩	xuan1
㓪	lang3
㓭	she2
㓮	diao1
㓯	li2
㓰	hua4
㓱	tou2
㓲	pian1
㓳	di1
㓴	ruan3
㓵	e4
㓶	qie4
㓷	yi4
㓸	zhuo1
㓹	rui4
㓺	jian1
㓼	chi4
㓽	chong2
㓾	xi1
㔀	lve4
㔁	deng1
㔂	lin2
㔃	jue2
㔄	su4
㔅	xiao4
㔆	zan4
㔉	zhu3
㔊	zhan3
㔋	jian1
㔌	zou4
㔍	chua1
㔎	xie4
㔏	li4
㔑	chi4
㔒	xi2
㔓	jian3
㔕	ji2
㔗	fei4
㔘	chu4
㔙	beng1
㔚	jie2
㔜	ba2
㔝	liang3
㔞	kuai4
㔠	xia1
㔡	bie1
㔢	jue2
㔣	lei2
㔤	xin4
㔥	bai4
㔦	yang3
㔧	lv4
㔨	bei4
㔩	e4
㔪	lu3
㔭	che4
㔮	nuo2
㔯	xuan2
㔰	heng2
㔱	yu3
㔳	gui3
㔴	yi4
㔵	xuan3
㔶	gong4
㔷	lou4
㔸	ti1
㔹	le4
㔺	shi4
㔼	sun3
㔽	yao4
㔿	zou4
㕁	que4
㕂	yin2
㕃	xi1
㕄	zhi3
㕅	jia2
㕆	hu4
㕇	la1
㕈	yi3
㕉	ke4
㕊	fu1
㕋	qin2
㕌	ai4
㕎	ke4
㕏	chu2
㕐	xie3
㕑	chu2
㕒	wei1
㕕	huan4
㕖	su4
㕗	you4
㕙	jun4
㕚	zhao3
㕛	xu4
㕜	shi3
㕞	shua1
㕟	kui4
㕠	shuang1
㕡	he2
㕢	gai4
㕣	yan3
㕤	qiu2
㕥	shen1
㕦	hua4
㕧	xi1
㕨	fan4
㕩	pang4
㕪	dan3
㕫	fang3
㕬	gong1
㕭	ao1
㕮	fu3
㕯	ne4
㕰	xue4
㕱	you2
㕲	hua2
㕴	chen2
㕵	guo2
㕶	en3
㕷	hua4
㕸	li4
㕹	fa2
㕺	xiao1
㕻	pou3
㕽	si4
㖀	le4
㖁	lin4
㖂	yi4
㖃	hou3
㖅	xu4
㖆	qu2
㖇	er2
㖊	xun2
㖏	nie4
㖐	wei3
㖑	xie4
㖒	ti2
㖓	hong2
㖔	tun3
㖕	nie4
㖖	nie4
㖗	yin2
㖘	zhen1
㖞	wai1
㖟	shou4
㖠	nuo4
㖡	ye4
㖢	qi2
㖣	tou4
㖤	han2
㖥	jun4
㖦	dong3
㖧	hun1
㖨	lu4
㖩	ju1
㖪	huo4
㖫	ling2
㖭	tian3
㖮	lun2
㖵	ge2
㖶	yan1
㖷	shi2
㖸	xue2
㖹	pen1
㖺	chun3
㖻	rou2
㖼	duo3
㖽	ze2
㖾	e4
㖿	xie2
㗀	you1
㗁	e4
㗃	wen3
㗄	ku1
㗅	hu2
㗆	ge2
㗇	xia2
㗈	man4
㗉	lve4
㗊	ji2
㗋	hou2
㗌	zhi4
㗏	wai1
㗑	bai5
㗒	ai4
㗓	zhui1
㗔	qian1
㗕	gou4
㗖	dan4
㗗	bei1
㗘	bo2
㗙	chu1
㗚	li4
㗛	xiao4
㗜	xiu4
㗢	hong2
㗣	ti4
㗤	cu4
㗥	kuo4
㗦	lao2
㗧	zhi4
㗨	xie1
㗩	xi1
㗫	qie4
㗬	zha1
㗭	xi1
㗰	cong2
㗱	ji2
㗲	huo4
㗳	ta3
㗴	yan2
㗵	xu4
㗶	po1
㗷	sai3
㗻	guo1
㗼	ye4
㗽	xiang3
㗾	xue1
㗿	he2
㘀	zuo4
㘁	yi4
㘂	ci2
㘄	leng1
㘅	xian2
㘆	tai3
㘇	rong2
㘈	yi4
㘉	zhi4
㘊	xi1
㘋	xian2
㘌	ju4
㘍	ji2
㘎	han3
㘐	pao4
㘑	li4
㘓	lan2
㘔	sai3
㘕	han3
㘖	yan2
㘗	qu1
㘙	yan2
㘚	han3
㘛	kan1
㘜	chi3
㘝	nie4
㘞	huo4
㘠	bi4
㘡	xia2
㘢	wen3
㘣	xuan2
㘤	wan1
㘥	you2
㘦	qin2
㘧	xu4
㘨	nie4
㘩	bi4
㘪	hao4
㘫	jing3
㘬	ao4
㘭	ao4
㘰	zhen1
㘱	tan1
㘲	ju2
㘴	zuo4
㘵	bu4
㘶	jie2
㘷	ai4
㘸	zang4
㘹	ci2
㘺	fa2
㘿	nie4
㙀	liu4
㙁	mei2
㙂	dui4
㙃	bang1
㙄	bi4
㙅	bao3
㙇	chu4
㙈	xia4
㙉	tian3
㙊	chang2
㙍	duo1
㙎	wei1
㙏	fu4
㙐	duo3
㙑	yu3
㙒	ye3
㙓	kui2
㙔	wei3
㙕	kuai4
㙗	wei1
㙘	yao1
㙙	long3
㙚	xing1
㙛	bu3
㙜	chi2
㙝	xie2
㙞	nie4
㙟	lang3
㙠	yi1
㙡	zong1
㙢	man2
㙣	zhang4
㙤	xia4
㙥	gun4
㙦	xie2
㙨	ji4
㙩	liao2
㙪	yi4
㙫	ji2
㙬	yin2
㙮	da1
㙯	yi4
㙰	xie4
㙱	hao4
㙲	yong3
㙳	kan3
㙴	chan4
㙵	tai2
㙶	tang2
㙷	zhi2
㙸	bao4
㙹	meng2
㙺	kui2
㙻	chan2
㙼	lei3
㙾	xi4
㚀	xi1
㚁	qiao4
㚂	nang4
㚃	yun1
㚅	long2
㚆	fu4
㚇	zong1
㚉	gu3
㚊	kai1
㚋	diao1
㚌	hua4
㚍	kui3
㚏	gao3
㚐	tao4
㚒	shan3
㚓	lai3
㚔	nie4
㚕	fu2
㚖	gao3
㚗	qie2
㚘	ban4
㚙	jia1
㚚	kong1
㚛	xi4
㚜	yu4
㚝	zhui1
㚞	shen3
㚟	chuo4
㚠	xiao1
㚡	ji3
㚢	nu2
㚣	xiao2
㚤	yi4
㚥	yu2
㚦	yi2
㚧	yan3
㚨	shen3
㚩	ran3
㚪	hao4
㚫	sa4
㚬	jun1
㚭	you2
㚯	xin2
㚰	pei1
㚱	qiu1
㚲	chan1
㚴	bu4
㚵	dong1
㚶	si4
㚷	er3
㚹	mao3
㚺	yun4
㚻	ji1
㚻奸	ji1 jian1
㚽	qiao3
㚾	xiong1
㚿	pao2
㛀	chu2
㛁	peng1
㛂	nuo3
㛃	jie2
㛄	yi1
㛅	er4
㛆	duo4
㛊	duo3
㛍	qie4
㛎	lv3
㛏	qiu2
㛐	sou3
㛑	can4
㛒	dou4
㛓	xi1
㛔	feng1
㛕	yi4
㛖	suo1
㛗	qie1
㛘	po4
㛙	xin1
㛚	tong3
㛛	xin4
㛜	you2
㛝	bei4
㛞	long4
㛣	yun2
㛤	li2
㛥	ta4
㛦	lan3
㛧	man3
㛨	qiang3
㛩	zhou2
㛪	yan4
㛫	xi1
㛬	lu4
㛭	xi1
㛮	sao3
㛯	fan4
㛱	wei3
㛲	fa4
㛳	yi4
㛴	nao3
㛵	cheng1
㛶	tan4
㛷	ji1
㛸	shu4
㛹	pian2
㛺	an1
㛻	kua1
㛼	cha1
㛾	xian2
㛿	zhi4
㜂	feng1
㜃	lian4
㜄	xun2
㜅	xu4
㜆	mi4
㜇	hui4
㜈	mu4
㜉	yong1
㜊	zhan3
㜋	yi4
㜌	nou3
㜍	tang2
㜎	xi1
㜏	yun2
㜐	shu4
㜑	fu2
㜒	yi4
㜓	da2
㜕	lian2
㜖	cao2
㜗	can1
㜘	ju4
㜙	lu4
㜚	su4
㜛	nen4
㜜	ao4
㜝	an3
㜞	qian4
㜠	cui1
㜡	cong1
㜣	ran2
㜤	nian3
㜥	mai2
㜦	xin2
㜧	yue4
㜨	nai2
㜩	ao4
㜪	shen1
㜫	ma4
㜮	lan4
㜯	xi1
㜰	yue4
㜱	zhi4
㜲	wen3
㜳	huai2
㜴	meng4
㜵	niao3
㜶	wan3
㜷	mi2
㜸	nie4
㜹	qu2
㜺	zan4
㜻	lian4
㜼	zhi2
㜽	zi3
㜾	hai2
㜿	xu4
㝀	hao4
㝁	xuan1
㝂	zhi4
㝃	mian3
㝄	chun2
㝅	gou4
