Per-class accuracy:
C_major     : 0.000 (21 samples)
C#_major    : 0.000 (13 samples)
D_major     : 0.000 (9 samples)
D#_major    : 0.000 (8 samples)
E_major     : 0.000 (25 samples)
F_major     : 0.000 (20 samples)
F#_major    : 0.000 (6 samples)
G_major     : 1.000 (8 samples)
G#_major    : 0.000 (11 samples)
A_major     : 0.000 (12 samples)
A#_major    : 0.000 (31 samples)
B_major     : 0.000 (9 samples)
C_minor     : 0.000 (17 samples)
C#_minor    : 0.000 (15 samples)
D_minor     : 0.000 (31 samples)
D#_minor    : 0.000 (11 samples)
E_minor     : 0.000 (10 samples)
F_minor     : 0.000 (14 samples)
F#_minor    : 0.000 (28 samples)
G_minor     : 0.000 (7 samples)
G#_minor    : 0.000 (25 samples)
A_minor     : 0.000 (14 samples)
A#_minor    : 0.000 (19 samples)
B_minor     : 0.000 (8 samples)
